iter	Passed	Remaining
339	86665	40783
340	86854	40497
341	87025	40204
342	87218	39922
343	87411	39640
344	87602	39357
345	87785	39072
346	88008	38805
347	88187	38518
348	88390	38243
349	88575	37960
350	88767	37682
351	88947	37398
352	89187	37140
353	89391	36867
354	89572	36585
355	89756	36306
356	90006	36052
357	90222	35786
358	90438	35520
359	90615	35239
360	90799	34961
361	90979	34682
362	91154	34402
363	91343	34128
364	91523	33851
365	91725	33582
366	91922	33312
367	92106	33038
368	92292	32765
369	92509	32503
370	92685	32227
371	92865	31953
372	93048	31681
373	93227	31408
374	93413	31137
375	93598	30867
376	93793	30601
377	93980	30332
378	94149	30058
379	94332	29789
380	94547	29530
381	94750	29268
382	94959	29008
383	95162	28746
384	95345	28479
385	95535	28215
386	95719	27948
387	95905	27684
388	96087	27418
389	96281	27156
390	96462	26890
391	96699	26641
392	96889	26379
393	97077	26117
394	97248	25850
395	97425	25586
396	97610	25324
397	97796	25063
398	97974	24800
